stage,seed,net_arpu_gain,gross_arpu_lift,total_cost,total_contacts,n_pilots,final_campaigns,valid,act_seconds
frozen,42,3872722.772305663,3971190.772305663,98468.0,8408,20,7,True,0.11362820898648351
frozen,0,3738170.7776213204,3826748.7776213204,88578.0,7299,20,5,True,0.10002533404622227
frozen,1,4112138.6188457822,4206994.618845782,94856.0,14390,20,8,True,0.10058774997014552
frozen,2,4295769.333658166,4395663.333658166,99894.0,10128,20,8,True,0.10349279106594622
frozen,3,4092897.328874222,4188355.328874222,95458.0,9019,20,6,True,0.10143808298744261
frozen,4,3509707.907789026,3609705.907789026,99998.0,8822,20,6,True,0.09131337492726743
frozen,5,4308453.816043501,4408347.816043501,99894.0,10128,20,8,True,0.10000012500677258
frozen,6,3910897.864094007,4008587.864094007,97690.0,9577,20,7,True,0.09371437493246049
frozen,7,3872568.682414981,3971354.682414981,98786.0,7763,20,6,True,0.09313204209320247
frozen,8,3811382.8489430714,3911366.8489430714,99984.0,12609,20,7,True,0.09619562502484769
frozen,9,3633384.498119208,3733382.498119208,99998.0,15000,20,9,True,0.10674804099835455
branch,42,4772378.971754307,4870326.971754307,97948.0,9313,20,6,True,0.11755337496288121
branch,0,5097471.262469498,5195099.262469498,97628.0,11033,20,7,True,0.11207658296916634
branch,1,5115886.17574748,5213388.17574748,97502.0,11033,20,8,True,0.11209599999710917
branch,2,4764345.960366502,4859751.960366502,95406.0,15000,20,8,True,0.10449970804620534
branch,3,4411471.203995203,4510725.203995203,99254.0,9806,20,6,True,0.11819649999961257
branch,4,4950360.561629476,5045786.561629476,95426.0,10388,20,6,True,0.11411920899990946
branch,5,4793158.260626173,4886830.260626173,93672.0,10044,20,6,True,0.10511116601992399
branch,6,4319999.474279493,4414649.474279493,94650.0,9366,20,5,True,0.10386945900972933
branch,7,4708431.327435066,4806019.327435066,97588.0,9313,20,5,True,0.10662008298095316
branch,8,4975542.118858425,5068274.118858425,92732.0,11033,20,6,True,0.11281379195861518
branch,9,4657078.129255794,4751564.129255794,94486.0,14770,20,7,True,0.11259666702244431
control,42,3872722.772305663,3971190.772305663,98468.0,8408,20,7,True,0.11060745897702873
control,0,3738170.7776213204,3826748.7776213204,88578.0,7299,20,5,True,0.10107708303257823
control,1,4112138.6188457822,4206994.618845782,94856.0,14390,20,8,True,0.10671291698236018
control,2,4295769.333658166,4395663.333658166,99894.0,10128,20,8,True,0.1128059159964323
control,3,4092897.328874222,4188355.328874222,95458.0,9019,20,6,True,0.09813999990001321
control,4,3509707.907789026,3609705.907789026,99998.0,8822,20,6,True,0.09775379195343703
control,5,4308453.816043501,4408347.816043501,99894.0,10128,20,8,True,0.10811033297795802
control,6,3910897.864094007,4008587.864094007,97690.0,9577,20,7,True,0.09830150008201599
control,7,3872568.682414981,3971354.682414981,98786.0,7763,20,6,True,0.1045537079917267
control,8,3811382.8489430714,3911366.8489430714,99984.0,12609,20,7,True,0.10749404190573841
control,9,3633384.498119208,3733382.498119208,99998.0,15000,20,9,True,0.1113448329269886
prior,42,4179450.887837477,4279434.887837477,99984.0,9822,20,8,True,0.12961891700979322
prior,0,4494452.426053004,4594446.426053004,99994.0,9505,20,8,True,0.11577354103792459
prior,1,4501580.929615898,4601174.929615898,99594.0,9549,20,8,True,0.13074037502519786
prior,2,4510399.126557836,4609993.126557836,99594.0,9549,20,8,True,0.11555950006004423
prior,3,4491323.428781776,4590917.428781776,99594.0,9549,20,8,True,0.13036762492265552
prior,4,4140199.396368987,4240195.396368987,99996.0,7818,20,7,True,0.11081229196861386
prior,5,4504095.807637377,4604089.807637377,99994.0,9505,20,8,True,0.1161458749556914
prior,6,4222343.521052669,4322339.521052669,99996.0,7818,20,7,True,0.1069701659725979
prior,7,4210609.250321377,4310605.250321377,99996.0,7818,20,7,True,0.11077104206196964
prior,8,4073969.353407166,4173967.353407166,99998.0,12521,20,8,True,0.12984958302695304
prior,9,4270611.180217013,4370611.180217013,100000.0,15000,20,10,True,0.12730166700202972
kg,42,2598404.555550933,2679194.555550933,80790.0,10077,20,4,True,0.1553652920993045
kg,0,2205060.0134595633,2270538.0134595633,65478.0,6249,20,2,True,0.15428124996833503
kg,1,2253422.881932514,2318900.881932514,65478.0,6249,20,2,True,0.17239112500101328
kg,2,2506563.819784021,2600107.819784021,93544.0,8932,20,4,True,0.16064249991904944
kg,3,2537313.9387072083,2630857.9387072083,93544.0,8932,20,4,True,0.1550296660279855
kg,4,2696364.063191552,2787626.063191552,91262.0,12695,20,4,True,0.1532842090819031
kg,5,1745368.93877763,1835644.93877763,90276.0,13083,20,4,True,0.16101624991279095
kg,6,2264654.951561893,2364652.951561893,99998.0,12521,20,4,True,0.15643350000027567
kg,7,2675421.7201022934,2775417.7201022934,99996.0,7818,20,3,True,0.1576716669369489
kg,8,2037682.6071027452,2137672.607102745,99990.0,10953,20,5,True,0.1648403329309076
kg,9,2527422.8133691447,2620966.8133691447,93544.0,8932,20,4,True,0.1681628751102835
grouping,42,3872722.772305663,3971190.772305663,98468.0,8408,20,7,True,0.123604292050004
grouping,0,3738170.7776213204,3826748.7776213204,88578.0,7299,20,3,True,0.1030278749531135
grouping,1,4112138.6188457822,4206994.618845782,94856.0,14390,20,8,True,0.1279081249376759
grouping,2,4295769.333658166,4395663.333658166,99894.0,10128,20,7,True,0.12518199998885393
grouping,3,4092897.328874222,4188355.328874222,95458.0,9019,20,5,True,0.1178122089477256
grouping,4,3509707.907789026,3609705.907789026,99998.0,8822,20,6,True,0.11054741695988923
grouping,5,4308453.816043501,4408347.816043501,99894.0,10128,20,8,True,0.12366204091813415
grouping,6,3910897.864094007,4008587.864094007,97690.0,9577,20,6,True,0.11285616597160697
grouping,7,3872568.682414981,3971354.682414981,98786.0,7763,20,3,True,0.10566383297555149
grouping,8,3811382.8489430714,3911366.8489430714,99984.0,12609,20,7,True,0.12135212495923042
grouping,9,3633384.498119208,3733382.498119208,99998.0,15000,20,8,True,0.13837745902128518
broad,42,2833017.7078902083,2933013.7078902083,99996.0,8385,20,4,True,0.10024687508121133
broad,0,2867043.566630855,2967039.566630855,99996.0,7818,20,3,True,0.09414295910391957
broad,1,2644676.1977957785,2741398.1977957785,96722.0,10919,20,4,True,0.09588516701478511
broad,2,2776618.6167629515,2857408.6167629515,80790.0,10077,20,4,True,0.09576795797329396
broad,3,2818426.1119894646,2918422.1119894646,99996.0,9538,20,4,True,0.10815774998627603
broad,4,2350815.600959207,2428767.600959207,77952.0,6816,20,3,True,0.11199779203161597
broad,5,2855073.2796252207,2955069.2796252207,99996.0,7818,20,3,True,0.09159708395600319
broad,6,2877368.3504919354,2968630.3504919354,91262.0,12695,20,4,True,0.09395916596986353
broad,7,2833205.0238391366,2933201.0238391366,99996.0,7818,20,3,True,0.09340666700154543
broad,8,2894400.533500365,2973290.533500365,78890.0,9602,20,4,True,0.09469845797866583
broad,9,2789848.683298706,2885176.683298706,95328.0,11160,20,6,True,0.10067475005052984
prior_kg,42,4717287.4130550055,4815757.4130550055,98470.0,8926,20,10,True,0.2138416669331491
prior_kg,0,4984444.566759768,5084184.566759768,99740.0,10283,20,10,True,0.235197167028673
prior_kg,1,5014882.5958489785,5114594.5958489785,99712.0,10276,20,10,True,0.21118104201741517
prior_kg,2,4747897.510826465,4846875.510826465,98978.0,14381,20,10,True,0.2150055409874767
prior_kg,3,4333184.191260263,4430890.191260263,97706.0,9419,20,10,True,0.207281208015047
prior_kg,4,4988623.755179932,5088545.755179932,99922.0,10001,20,10,True,0.21739908400923014
prior_kg,5,4859366.179162354,4958564.179162354,99198.0,10044,20,10,True,0.20695341704413295
prior_kg,6,4366948.280438233,4466584.280438233,99636.0,9366,20,10,True,0.2049395409412682
prior_kg,7,4686611.717954899,4784049.717954899,97438.0,8668,20,10,True,0.2031746250577271
prior_kg,8,4956641.89423995,5056631.89423995,99990.0,9999,20,10,True,0.2273793329950422
prior_kg,9,4609264.245524172,4707632.245524172,98368.0,14539,20,10,True,0.22312387498095632
combined,42,4730893.2606236525,4830873.2606236525,99980.0,9308,20,6,True,0.24219570797868073
combined,0,5103157.356564403,5201379.356564403,98222.0,11033,20,7,True,0.2657946670660749
combined,1,5120059.381248917,5219055.381248917,98996.0,11033,20,7,True,0.26094808301422745
combined,2,4747897.510826465,4846875.510826465,98978.0,14381,20,10,True,0.2829641669522971
